prospect_id,industry,region,company_size,campaign,channel,annual_revenue,conversion_probability,expected_business_value,marketing_priority_score,priority_band,gaming_risk_score,ml_anomaly_flag,recommended_action
106570,Education,South,Medium,Business_Premium,Paid Search,100000000.0,0.968883768170286,2545820.3541886923,98.20696956766288,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
103020,Construction,North,Large,Business_Premium,Email,17985996.0,0.9673845706437876,444489.37041645247,98.18190567897044,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
124760,Healthcare,West,Micro,Cashback_Business,Email,20660481.0,0.9698318217120132,279069.8186054104,98.0020319770406,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
109543,Financial Services,North,Micro,Startup_Accelerator,Email,13037843.0,0.9705807221288516,290959.1554542618,97.97433249579834,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
124257,Construction,North,Small,Business_Premium,Sales Outreach,7427018.0,0.9685091453814804,245725.59607779284,97.8205115421666,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
104965,Healthcare,East,Micro,Cashback_Business,Paid Search,10984218.0,0.9580275046204576,292766.58368888404,97.5226377079206,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
113130,Education,East,Micro,Enterprise_Expansion,Paid Search,14750879.0,0.9624460363500168,311022.4692021627,97.49847163575076,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
118576,Manufacturing,South,Medium,SME_Growth,Partner,26953348.0,0.9482328471628112,866649.0879218307,97.3700781223265,VERY_HIGH,0,0,PRIORITIZE_HIGH_VALUE_OUTREACH
124917,Healthcare,South,Medium,SME_Growth,Web,20222030.0,0.9439123552864525,647250.2804326832,97.14425598789036,VERY_HIGH,0,0,PRIORITIZE_HIGH_VALUE_OUTREACH
111402,Healthcare,West,Micro,SME_Growth,Email,21648028.0,0.9409369593600976,474251.0524583043,97.0703631712044,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
101592,Retail,West,Medium,Travel_Corporate,Social,19058421.0,0.9442381914890492,450695.7265583972,97.0123186170072,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
109553,Technology,South,Micro,Enterprise_Expansion,Social,22468766.0,0.9379589506881688,612870.1942908283,96.9729527809676,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
100190,Manufacturing,South,Medium,Enterprise_Expansion,Email,15827256.0,0.9393677289916608,463566.5691606243,96.96254780462472,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
122226,Manufacturing,East,Micro,Startup_Accelerator,Partner,30478275.0,0.9365469191518536,761576.8924095716,96.91621136183342,VERY_HIGH,0,0,PRIORITIZE_HIGH_VALUE_OUTREACH
110263,Logistics,South,Medium,Cashback_Business,Paid Search,38467010.0,0.9336163383506076,762548.7704485108,96.80653522577734,VERY_HIGH,0,1,PRIORITIZE_HIGH_VALUE_OUTREACH
